#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
1244,1,0,0,0,,Artemisia cana Shrub Short Herbland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,6,8,7
638,1,0,0,0,,Artemisia cana Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
660,1,2,0,0,,Artemisia cana Temporarily Flooded Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
639,1,0,0,0,,Artemisia filifolia Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
1266,1,0,0,0,,Artemisia nova Dwarf-Shrub Herbland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
880,1,2,0,0,,Artemisia nova Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
1267,1,0,0,0,,Artemisia pedatifida Dwarf-Shrub Herbland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
902,1,0,0,0,,Artemisia pedatifida Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
881,1,0,0,0,,Artemisia pygmaea Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
1273,1,0,0,0,,Artemisia rigida Dwarf-Shrub Herbland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
882,0,2,0,0,,Artemisia rothrockii Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
903,1,0,0,0,,Artemisia spinescens Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
657,1,2,0,0,,Artemisia tridentata Intermittently Flooded Shrubland,SMFDB228,0,0,0,0,0,0,0,0,,0.31,,4.33,,,,,,,SB,5,8,7
1222,1,0,0,0,,Artemisia tridentata Shrub Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,5,8,7
1216,1,0,0,0,,Artemisia tridentata Shrub Tall Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,6,8,7
640,1,2,0,0,,Artemisia tridentata Shrubland,SMFDB228,0,0,0,0,0,0,0,0,,0.31,,4.33,,,,,,,SB,5,8,7
1223,1,0,0,0,,Artemisia tridentata ssp. tridentata Shrub Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,5,8,7
641,1,2,0,0,,Artemisia tridentata ssp. tridentata Shrubland,SMFDB228,0,0,0,0,0,0,0,0,,0.31,,4.33,,,,,,,SB,5,8,7
1224,1,0,0,0,,Artemisia tridentata ssp. vaseyana Shrub Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,5,8,7
642,1,0,0,0,,Artemisia tridentata ssp. vaseyana Shrubland,SMFDB227,0,0,0,0,0,0,0,0,,0.28,,2.8,,,,,,,SB,5,8,7
1225,1,2,0,0,,Artemisia tridentata ssp. wyomingensis Shrub Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,5,8,7
1245,1,0,0,0,,Artemisia tridentata ssp. wyomingensis Shrub Short Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,5,8,7
643,1,2,0,0,,Artemisia tridentata ssp. wyomingensis Shrubland,SMFDB228,0,0,0,0,0,0,0,0,,0.31,,4.33,,,,,,,SB,5,8,7
1226,1,0,0,0,,Artemisia tripartita Shrub Herbland,SMFDB336,0,0,0,0,0,0,0,0,,1.49,,0.97,,,,,,,SB,5,8,7
627,0,0,0,4,,Arundinaria gigantea Saturated Shrubland,SMFDB124,1.5,0,0,0,0,0,4.01,2.5,,4.36,,1.7,,,,,,,,5,8,7
630,0,0,0,4,,Arundinaria gigantea Saturated Wooded Shrubland,SMFDB124,1.5,0,0,0,0,0,4.01,2.5,,4.36,,1.7,,,,,,,,5,8,7
623,0,0,0,4,,Arundinaria gigantea Temporarily Flooded Woodland,SMFDB124,1.5,0,0,0,0,0,4.01,2.5,,4.36,,1.7,,,,,,,,1,8,7
622,0,0,0,4,,Arundinaria gigantea Wooded Shrubland,SMFDB124,1.5,0,0,0,0,0,4.01,2.5,,4.36,,1.7,,,,,,,,5,8,7
1305,0,0,0,4,,Aster oblongifolius Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1306,1,0,0,0,,Athyrium americanum Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
680,1,2,0,0,,Atriplex (lentiformis; polycarpa) Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
681,1,2,0,0,,Atriplex canescens Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
682,1,2,0,0,,Atriplex confertifolia Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
886,1,0,0,0,,Atriplex corrugata Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,,5,8,7
683,1,0,0,0,,Atriplex cuneata Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
887,1,0,0,0,,Atriplex gardneri Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,,5,8,7
684,1,2,0,0,,Atriplex hymenelytra Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
888,1,0,0,0,,Atriplex obovata Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,,5,8,7
685,1,2,0,0,,Atriplex polycarpa Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
686,1,2,0,0,,Atriplex spinifera Shrubland,FOFEM 321,0.11,0,0,0,0,0,0,0,,0.4,,2.28,,,,,,,,5,8,7
21,0,0,0,4,,Avicennia germinans Tidal Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
566,0,0,0,4,,Avicennia germinans Tidal Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
365,0,0,0,4,,Avicennia germinans Tidal Woodland,X,,,,,,,,,,,,,,,,,,,,1,8,7
1264,0,0,0,4,,Baccharis angustifolia Saturated Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
816,0,0,0,4,,Baccharis halimifolia Saturated Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
